StudentID,Age,City_Tier,State,10th_Percentage,12th_Percentage,Entrance_Exam_Score,Course_Name,Department,Fee_Payment_Status,Scholarship_Recipient,Extracurricular_Activity_Count,Avg_Attendance,Final_CGPA,Is_Dropout,Joining_Year
10059,22,Tier 1,Karnataka,74.37,67.21,89.41,B.Sc in Physics,Science,On-Time,No,0,57.2,9.417624156826898,1,2023
10060,18,Tier 3,Andhra Pradesh,71.62,72.84,90.24,B.Com,Commerce,Delayed,Yes,5,63.82,9.019740847036331,1,2024
10061,22,Tier 1,West Bengal,70.59,72.89,52.64,BBA,Management,On-Time,Yes,5,51.95,7.372822173098627,0,2022
10062,22,Tier 3,Karnataka,73.82,72.66,79.91,B.Tech in Mechanical,Engineering,Delayed,No,4,68.16,8.328365486235368,0,2024
10063,22,Tier 1,Rajasthan,90.13,83.11,48.17,B.Tech in Electronics,Engineering,Defaulted,No,2,48.66,7.41,1,2023
10064,21,Tier 2,Maharashtra,76.59,78.05,98.68,B.Tech in Electronics,Engineering,Defaulted,Yes,2,50.01,9.653079412814812,1,2022
10065,19,Tier 3,Andhra Pradesh,81.18,79.83,85.79,B.Tech in Mechanical,Engineering,On-Time,Yes,4,55.84,8.23523485650366,0,2021
10066,21,Tier 3,Karnataka,83.73,80.88,61.28,B.Com,Commerce,On-Time,No,1,59.51,6.666474131641079,0,2021
10067,18,Tier 3,West Bengal,69.56,64.92,88.99,B.Sc in Physics,Science,Defaulted,No,2,54.85,9.45,1,2024
10068,19,Tier 2,Uttar Pradesh,92.07,96.35,78.69,B.Tech in Electronics,Engineering,On-Time,Yes,4,63.92,8.472939738881278,0,2024
10069,20,Tier 1,West Bengal,58.44,53.53,58.08,B.Com,Commerce,On-Time,Yes,0,59.62,7.51665134044614,1,2021
10070,22,Tier 1,Gujarat,60.43,61.89,78.06,B.Tech in Electronics,Engineering,Delayed,No,4,63.64,8.21319313097618,0,2023
10071,21,Tier 1,Andhra Pradesh,66.26,67.36,66.33,B.Com,Commerce,On-Time,No,2,58.17,7.65273962877904,0,2023
10072,19,Tier 2,Karnataka,76.88,80.06,51.86,B.Tech in Mechanical,Engineering,On-Time,Yes,1,49.63,7.336409541194414,1,2021
10073,18,Tier 2,Gujarat,84.24,84.07,91.8,B.Com,Commerce,Delayed,Yes,2,65.77,9.217374195586496,1,2023
10074,22,Tier 1,Uttar Pradesh,81.88,77.66,45.51,B.Sc in Physics,Science,On-Time,No,4,51.75,6.738229204011065,0,2022
10075,18,Tier 3,Gujarat,78.46,73.83,57.82,B.Tech in Mechanical,Engineering,Defaulted,Yes,2,54.22,6.589922415602235,0,2021
10076,22,Tier 1,Andhra Pradesh,68.72,66.72,55.78,B.Tech in Mechanical,Engineering,On-Time,No,3,59.33,7.67844288876454,0,2023
10077,18,Tier 2,Delhi,76.73,67.23,52.69,B.Tech in Electronics,Engineering,On-Time,Yes,2,50.29,6.37734704562274,0,2024
10078,22,Tier 1,Uttar Pradesh,71.61,69.85,72.44,B.Com,Commerce,On-Time,No,4,67.54,7.601121404645916,0,2021
10079,21,Tier 3,Karnataka,93.4,96.3,94.95,B.Tech in Electronics,Engineering,On-Time,Yes,4,56.21,9.799839674008268,0,2022
10080,21,Tier 3,Uttar Pradesh,88.66,82.02,74.08,B.Sc in Physics,Science,On-Time,Yes,3,57.04,7.976812960793941,1,2024
10081,22,Tier 3,Gujarat,86.28,80.69,70.6,B.Com,Commerce,On-Time,Yes,2,53.07,8.104320576543795,0,2021
10082,22,Tier 1,Uttar Pradesh,95.48,85.75,85.5,B.Sc in Physics,Science,Delayed,No,0,57.95,8.425535556735653,0,2022
10083,20,Tier 2,Delhi,94.73,89.89,84.09,B.Tech in Mechanical,Engineering,Delayed,Yes,5,57.9,9.077004546596056,1,2022
10084,18,Tier 1,Andhra Pradesh,72.5,63.47,91.83,BBA,Management,Delayed,Yes,3,56.29,9.357035975973984,1,2021
10085,19,Tier 1,Uttar Pradesh,55.4,51.88,46.33,B.Tech in Electronics,Engineering,Delayed,No,4,54.12,7.512369629062107,1,2023
10086,19,Tier 3,Telangana,93.57,86.17,70.4,B.Tech in Computer Science,Engineering,On-Time,Yes,0,62.84,6.969221104960215,0,2022
10087,18,Tier 2,Gujarat,61.87,56.58,94.46,B.Sc in Physics,Science,Delayed,Yes,1,64.64,9.543156571934778,0,2024
10088,22,Tier 3,Delhi,74.21,68.65,44.61,B.Com,Commerce,On-Time,Yes,4,58.15,6.377958555843676,0,2022
10089,21,Tier 3,Gujarat,57.48,55.54,87.61,B.Sc in Physics,Science,On-Time,Yes,5,47.71,8.512006503356288,0,2023
10090,21,Tier 2,West Bengal,74.29,65.53,62.27,B.Tech in Computer Science,Engineering,On-Time,No,4,57.32,7.1817331147409895,0,2022
10091,21,Tier 1,Tamil Nadu,74.81,77.48,51.12,B.Sc in Physics,Science,On-Time,No,1,62.26,6.682430936876325,1,2021
10092,19,Tier 1,Maharashtra,76.67,77.33,88.13,B.Sc in Physics,Science,On-Time,No,4,63.3,9.05796442047276,0,2021
10093,21,Tier 2,Maharashtra,95.49,90.42,86.36,B.Tech in Electronics,Engineering,On-Time,No,1,55.98,8.32757091986168,0,2021
10094,20,Tier 2,Tamil Nadu,82.81,73.98,89.98,B.Tech in Computer Science,Engineering,On-Time,Yes,1,53.01,8.90555606812853,0,2023
10095,19,Tier 3,Delhi,97.98,95.8,54.31,B.Com,Commerce,Delayed,No,1,52.92,6.883012236268747,0,2024
10096,20,Tier 2,West Bengal,56.97,50.0,83.73,B.Tech in Computer Science,Engineering,Defaulted,No,3,53.66,9.344330775207446,1,2021
10097,20,Tier 1,Karnataka,85.97,83.65,94.1,B.Com,Commerce,On-Time,Yes,4,56.77,9.485970739515343,0,2023
10098,22,Tier 3,Gujarat,75.98,80.88,72.55,B.Tech in Computer Science,Engineering,On-Time,No,2,51.05,8.625150764140507,0,2022
10099,21,Tier 2,Delhi,96.25,94.37,54.35,B.Sc in Physics,Science,On-Time,No,4,56.14,7.72,1,2022
10100,22,Tier 1,Maharashtra,64.09,56.07,92.37,BBA,Management,Defaulted,No,1,55.32,9.519148384665938,1,2024
10101,19,Tier 2,Telangana,84.11,81.0,62.65,B.Sc in Physics,Science,On-Time,No,3,58.93,7.710077069049456,1,2021
10102,19,Tier 3,West Bengal,95.47,93.99,80.1,B.Sc in Physics,Science,On-Time,No,0,50.83,8.222071031522505,0,2024
10103,19,Tier 1,Delhi,73.53,70.18,70.23,B.Tech in Computer Science,Engineering,On-Time,No,1,47.11,7.848292124739238,0,2022
10104,19,Tier 2,Uttar Pradesh,66.54,69.35,49.87,B.Tech in Electronics,Engineering,Delayed,No,3,48.64,7.005151736205982,1,2023
10105,21,Tier 1,Telangana,67.92,63.87,81.02,BBA,Management,On-Time,Yes,5,61.99,8.514164229846308,0,2022
10106,22,Tier 3,Maharashtra,74.85,69.22,65.87,B.Tech in Electronics,Engineering,On-Time,No,4,62.05,8.29,1,2023
10107,20,Tier 3,Andhra Pradesh,82.44,86.17,85.37,B.Sc in Physics,Science,On-Time,Yes,3,65.47,8.03969055164265,0,2021
10108,20,Tier 2,Rajasthan,88.21,84.38,69.53,B.Tech in Electronics,Engineering,Delayed,No,2,57.44,8.337064516603933,0,2024
10109,18,Tier 1,Uttar Pradesh,89.84,93.11,90.1,B.Sc in Physics,Science,On-Time,Yes,3,58.52,9.32160255053892,0,2023
10110,22,Tier 2,Rajasthan,55.19,56.97,56.42,B.Sc in Physics,Science,On-Time,No,2,53.99,7.202369595154508,1,2021
10111,22,Tier 3,Karnataka,85.36,85.9,76.25,B.Tech in Computer Science,Engineering,Defaulted,Yes,4,54.98,8.52923002140599,1,2023
10112,21,Tier 1,Uttar Pradesh,63.05,55.42,76.55,B.Tech in Electronics,Engineering,On-Time,Yes,2,59.07,8.669226243611979,1,2023
10113,22,Tier 1,Uttar Pradesh,88.57,85.09,85.58,BBA,Management,Delayed,No,0,61.52,8.070204714577546,0,2023
10114,21,Tier 2,Uttar Pradesh,92.07,95.77,91.05,B.Tech in Computer Science,Engineering,On-Time,Yes,2,62.68,8.385757630000027,0,2023
10115,20,Tier 3,Uttar Pradesh,66.5,58.63,98.14,B.Sc in Physics,Science,On-Time,Yes,4,61.09,8.580525045158293,0,2024
10116,20,Tier 2,Rajasthan,74.44,69.94,91.93,B.Tech in Computer Science,Engineering,Delayed,No,1,62.41,9.254049548773148,0,2023
10117,21,Tier 2,Tamil Nadu,66.55,59.12,59.93,B.Com,Commerce,On-Time,Yes,5,55.12,7.991058649936978,0,2024
10118,20,Tier 2,Karnataka,59.01,58.6,44.86,B.Sc in Physics,Science,On-Time,No,0,57.76,6.233624715841596,1,2024
10119,19,Tier 1,Gujarat,64.84,68.5,87.55,B.Tech in Computer Science,Engineering,On-Time,Yes,3,58.78,8.237246463023508,0,2021
10120,22,Tier 1,Gujarat,58.73,62.22,84.39,B.Com,Commerce,Delayed,Yes,4,58.53,8.591206919077141,0,2022
10121,22,Tier 1,Andhra Pradesh,87.16,87.73,43.22,B.Tech in Mechanical,Engineering,Delayed,Yes,0,55.81,7.095376148937081,0,2023
10122,22,Tier 1,Delhi,66.27,70.67,43.57,BBA,Management,On-Time,No,4,54.98,6.116669110550808,0,2021
10123,18,Tier 3,Uttar Pradesh,73.81,64.51,54.08,B.Tech in Mechanical,Engineering,Delayed,No,1,50.69,7.430321195123424,1,2021
10124,19,Tier 3,Uttar Pradesh,93.12,86.55,41.73,BBA,Management,Delayed,Yes,5,50.4,6.2067320130947,1,2022
10125,18,Tier 1,Maharashtra,65.52,63.44,62.6,B.Tech in Mechanical,Engineering,On-Time,Yes,1,50.73,7.721151473036569,0,2023
10126,19,Tier 1,Andhra Pradesh,96.03,99.0,67.44,B.Tech in Electronics,Engineering,Delayed,Yes,1,55.44,7.38682205855429,0,2022
10127,18,Tier 1,Rajasthan,65.02,64.82,89.53,B.Tech in Computer Science,Engineering,Defaulted,No,5,67.53,7.856735802488079,0,2023
10128,20,Tier 3,Gujarat,58.65,62.22,47.88,BBA,Management,On-Time,Yes,1,48.4,7.220439742909195,0,2022
10129,18,Tier 2,Karnataka,75.04,73.94,71.62,B.Tech in Mechanical,Engineering,On-Time,Yes,5,62.37,7.967637238173457,1,2023
10130,20,Tier 1,Karnataka,95.94,88.12,72.8,B.Com,Commerce,On-Time,Yes,0,58.59,7.49461452098278,0,2021
10131,18,Tier 3,Tamil Nadu,74.07,77.14,93.4,B.Tech in Electronics,Engineering,On-Time,Yes,5,51.47,9.499261147450392,0,2022
10132,20,Tier 2,Gujarat,92.96,90.77,45.18,BBA,Management,On-Time,No,2,58.88,6.899620464666611,1,2023
10133,18,Tier 3,West Bengal,64.42,55.98,85.93,B.Tech in Computer Science,Engineering,On-Time,No,2,57.53,9.130179069717247,1,2023
10134,19,Tier 3,Tamil Nadu,68.67,62.6,61.17,B.Com,Commerce,On-Time,No,0,58.86,7.944917103094228,1,2024
10135,22,Tier 1,Tamil Nadu,69.65,71.99,87.34,B.Tech in Electronics,Engineering,Defaulted,No,5,53.11,7.9552315045415005,0,2022
10136,21,Tier 1,West Bengal,85.41,81.98,92.49,B.Com,Commerce,On-Time,No,4,60.69,9.055231479549004,0,2023
10137,19,Tier 1,Telangana,95.28,98.17,83.98,B.Tech in Mechanical,Engineering,Delayed,Yes,3,60.74,8.448639637338525,0,2024
10138,21,Tier 1,Rajasthan,93.04,90.64,62.34,B.Com,Commerce,Delayed,Yes,5,57.32,7.336202432068559,0,2021
10139,18,Tier 1,Andhra Pradesh,69.53,59.75,92.7,B.Sc in Physics,Science,On-Time,Yes,3,48.7,9.121832991150384,0,2022
10140,22,Tier 2,Andhra Pradesh,61.6,61.19,65.23,B.Tech in Electronics,Engineering,On-Time,No,1,58.73,7.5931010141320465,0,2022
10141,20,Tier 2,Rajasthan,63.02,67.35,65.94,B.Tech in Electronics,Engineering,On-Time,No,4,52.01,7.366375926876445,0,2022
10142,19,Tier 2,Gujarat,58.4,50.0,82.14,B.Com,Commerce,On-Time,Yes,5,55.09,8.971772177817785,1,2024
10143,22,Tier 2,Uttar Pradesh,94.16,85.45,43.95,BBA,Management,Defaulted,Yes,0,63.53,6.370177577923071,1,2023
10144,18,Tier 3,Uttar Pradesh,92.85,84.68,55.58,B.Sc in Physics,Science,Delayed,Yes,2,49.88,7.399063405791032,1,2022
10145,20,Tier 2,Uttar Pradesh,91.9,86.63,97.38,B.Tech in Mechanical,Engineering,Delayed,Yes,0,53.79,10.0,1,2024
10146,22,Tier 1,Rajasthan,88.56,85.7,73.55,B.Tech in Mechanical,Engineering,On-Time,No,1,59.81,8.580315884619363,1,2021
10147,22,Tier 2,Andhra Pradesh,69.8,62.24,55.26,B.Sc in Physics,Science,On-Time,No,1,47.86,6.640602844299347,0,2023
10148,19,Tier 1,Telangana,64.62,60.49,95.64,B.Sc in Physics,Science,Delayed,No,4,62.33,8.921894218438933,0,2023
10149,22,Tier 2,Telangana,67.83,71.21,43.77,B.Tech in Electronics,Engineering,On-Time,Yes,5,56.85,6.9999635414198265,1,2022
10150,20,Tier 2,Uttar Pradesh,72.4,66.35,74.4,B.Com,Commerce,On-Time,No,5,66.4,7.643592910624785,0,2023
10151,22,Tier 3,Karnataka,93.68,88.86,53.11,B.Tech in Mechanical,Engineering,On-Time,No,4,63.43,6.550595302156612,0,2023
10152,20,Tier 1,Rajasthan,92.45,95.19,98.55,B.Tech in Electronics,Engineering,Delayed,Yes,4,64.06,9.828582511581418,1,2023
10153,21,Tier 1,Delhi,81.42,76.92,63.8,BBA,Management,On-Time,No,4,50.53,6.836531597383548,1,2022
10154,20,Tier 1,Karnataka,90.43,90.96,57.16,B.Sc in Physics,Science,Defaulted,Yes,5,51.63,7.86,1,2021
10155,22,Tier 1,Andhra Pradesh,60.3,54.63,86.74,BBA,Management,On-Time,Yes,2,67.75,7.82200436812703,0,2023
10156,21,Tier 3,Delhi,77.37,73.03,81.34,BBA,Management,On-Time,No,1,56.92,7.80023875955061,1,2022
10157,20,Tier 1,Tamil Nadu,55.55,59.21,46.52,B.Com,Commerce,On-Time,No,2,54.11,5.732525948398597,0,2023
10158,20,Tier 3,Rajasthan,59.98,52.21,92.53,B.Tech in Computer Science,Engineering,On-Time,No,3,62.54,8.472957140561515,0,2024
10159,19,Tier 1,Delhi,84.94,89.06,95.61,B.Tech in Mechanical,Engineering,On-Time,No,3,58.91,9.78,1,2023
10160,18,Tier 3,Uttar Pradesh,68.51,62.94,80.0,B.Sc in Physics,Science,Delayed,Yes,0,64.03,7.971245224700146,0,2021
10161,19,Tier 2,Andhra Pradesh,91.63,83.59,44.42,BBA,Management,Defaulted,Yes,0,52.19,6.57152323705919,1,2024
10162,21,Tier 3,Maharashtra,78.61,71.22,86.72,B.Com,Commerce,On-Time,No,0,64.14,8.963885676476036,0,2023
10163,18,Tier 1,Tamil Nadu,69.68,62.23,96.9,B.Tech in Electronics,Engineering,Delayed,Yes,5,55.72,9.23841685439891,0,2024
10164,20,Tier 2,Delhi,57.0,52.5,79.66,B.Tech in Computer Science,Engineering,On-Time,Yes,5,61.55,8.435037893898704,0,2023
10165,19,Tier 2,Delhi,83.27,79.18,58.99,BBA,Management,On-Time,No,5,54.2,7.353421683649412,1,2021
10166,19,Tier 1,Tamil Nadu,81.84,82.48,60.37,B.Sc in Physics,Science,Delayed,No,3,59.49,7.528067511614159,0,2024
10167,18,Tier 1,Andhra Pradesh,56.09,58.91,79.54,B.Tech in Mechanical,Engineering,On-Time,Yes,5,59.78,8.19446937396362,1,2022
10168,21,Tier 3,Tamil Nadu,88.73,81.75,56.97,B.Sc in Physics,Science,On-Time,No,4,49.35,7.865438136583493,1,2024
10169,22,Tier 3,Tamil Nadu,96.46,97.05,50.47,B.Sc in Physics,Science,Defaulted,Yes,5,49.71,6.585309109420363,1,2021
10170,20,Tier 3,Gujarat,78.66,82.57,81.75,B.Com,Commerce,On-Time,Yes,0,48.92,7.835388897571712,0,2024
10171,20,Tier 1,Gujarat,93.89,89.68,76.65,B.Tech in Computer Science,Engineering,Delayed,Yes,2,62.84,8.494719173870456,0,2023
10172,22,Tier 1,Delhi,62.2,52.86,71.74,B.Tech in Computer Science,Engineering,On-Time,Yes,3,60.4,7.886769624760002,1,2024
10173,18,Tier 1,Delhi,57.33,50.42,72.93,B.Com,Commerce,Delayed,No,4,56.42,8.65,1,2021
10174,20,Tier 3,Uttar Pradesh,58.72,52.24,65.82,BBA,Management,On-Time,Yes,4,61.94,7.229703648221428,1,2024
10175,19,Tier 1,Delhi,55.22,51.27,71.69,B.Tech in Computer Science,Engineering,Delayed,No,5,56.68,7.909323868394146,1,2021
10176,18,Tier 3,Uttar Pradesh,57.9,61.43,82.81,BBA,Management,Delayed,No,1,60.86,9.14,1,2021
10177,20,Tier 1,Tamil Nadu,85.62,81.01,56.32,B.Tech in Electronics,Engineering,On-Time,Yes,5,56.1,7.083199287154093,0,2023
10178,18,Tier 3,Maharashtra,82.16,74.97,74.16,B.Com,Commerce,On-Time,No,4,53.1,8.00665463862894,0,2023
10179,18,Tier 3,Tamil Nadu,84.42,78.06,48.28,B.Tech in Mechanical,Engineering,Defaulted,No,3,54.32,6.787141760095294,0,2023
10180,21,Tier 1,Gujarat,56.72,51.99,46.09,B.Com,Commerce,On-Time,No,3,59.35,6.660150423817548,1,2021
10181,22,Tier 3,Maharashtra,92.93,91.33,53.57,B.Com,Commerce,Delayed,Yes,1,54.83,7.68,1,2021
10182,19,Tier 3,Telangana,61.93,57.49,42.31,B.Com,Commerce,On-Time,No,1,57.1,6.736438956415517,1,2024
10183,21,Tier 1,Telangana,89.17,81.86,50.73,B.Sc in Physics,Science,On-Time,Yes,3,55.78,6.309688759468069,0,2021
10184,22,Tier 1,Telangana,92.74,89.77,84.39,B.Tech in Computer Science,Engineering,Delayed,No,2,62.65,8.328742488846554,0,2024
10185,22,Tier 1,Telangana,73.3,74.48,85.19,B.Tech in Computer Science,Engineering,On-Time,No,2,55.63,8.64112688923816,1,2024
10186,21,Tier 2,Telangana,81.31,71.43,63.45,B.Tech in Mechanical,Engineering,On-Time,Yes,0,55.64,7.411542436273391,0,2024
10187,19,Tier 2,Andhra Pradesh,88.8,81.79,76.23,B.Sc in Physics,Science,Defaulted,No,5,61.35,6.987953330329673,0,2021
10188,22,Tier 1,Maharashtra,82.53,80.95,51.9,B.Sc in Physics,Science,On-Time,No,3,57.11,7.420724172349859,0,2021
10189,22,Tier 3,Tamil Nadu,55.66,50.11,94.23,B.Com,Commerce,On-Time,No,2,66.74,8.766659869958508,0,2023
10190,18,Tier 2,Andhra Pradesh,92.67,85.47,73.92,B.Sc in Physics,Science,On-Time,Yes,2,57.61,8.142112428976667,0,2022
10191,21,Tier 3,West Bengal,78.03,72.52,55.54,B.Tech in Electronics,Engineering,On-Time,Yes,2,56.23,7.75158854174727,1,2022
10192,19,Tier 1,Tamil Nadu,90.96,90.62,85.96,B.Tech in Computer Science,Engineering,On-Time,No,3,65.46,8.764021859562396,0,2021
10193,19,Tier 1,Telangana,57.33,50.34,68.22,B.Com,Commerce,Delayed,Yes,4,53.38,7.473320802276637,0,2023
10194,20,Tier 2,Tamil Nadu,75.27,71.07,61.59,BBA,Management,Delayed,Yes,1,58.34,7.699854126032318,0,2024
10195,19,Tier 1,Gujarat,62.59,60.1,98.74,B.Sc in Physics,Science,On-Time,No,2,60.93,9.604953193235616,0,2023
